Entity,Salience
"$14,400",0.0
"$240,000",0.0
"$250,000",0.0
"$4,800",0.0
"$50,000",0.0
"$9,000",0.0
0,0.0
1.25,0.0
1.5,0.0
11,0.0
120,0.0
14,0.0
"14,400",0.0
16,0.0
17,0.0
184,0.0
19,0.0
2.25,0.0
20%,0.00678987754508853
2018,0.0
2022,0.0
21,0.0
22,0.0
23,0.0
24,0.0
"240,000",0.0
"250,000",0.0
27,0.0
28,0.0
28%,0.00030203169444575906
29,0.0
3.5,0.0
31,0.0
33,0.0
34,0.0
34 Credits For First-Time Homebuyers,3.592374923755415e-05
35,0.0
37,0.0
38,0.0
39,0.0
"4,800",0.0
41,0.0
43,0.0
48,0.0
"50,000",0.0
580,0.0
590,0.0
59½,0.0
66303,0.0
78,0.0
9,0.0
"9,000",0.0
A House For The First Time,0.001993792364373803
ARM,0.0004954877658747137
ARM rates,0.002369804074987769
Agents,0.00026653133681975305
Alternatives,8.71413794811815e-05
American,0.00017589631897863
Amy Fontinelle,0.0002632953110150993
Andrew Dehan,0.02884563058614731
Andrew Dehan9,0.0006386771565303206
Answer,0.0002925231819972396
Application,0.0001358286062895786
Are You Ready,0.0001334471016889438
Article,6.816554378019646e-05
Articles,6.812556966906413e-05
Attorney fees,0.00031296556699089706
Barbara Marquand,8.343113586306572e-05
Benefits,0.000481226319000901
Best Way,4.361574974609539e-05
Beyonce,5.138569758855738e-05
Bidding War,0.00010864265641430393
Borrowers Section 184 Loan Resources,7.576531788799912e-05
Bottom Line,0.0004344493354437873
Broker,0.00011698207526933402
Budget,0.005422787993059804
Buyers,0.0006585734285181388
Buying Process,0.0010941476793959737
Buying Your First Home,0.0001156664002337493
CANADIAN,0.00015954820264596492
Cat,0.0003523766645230353
Certified Notary Public,0.00030070124194025993
Clients,0.0002489255493856035
Close,0.0007565933628939092
Closing,0.0001928149868035689
Closing Costs,0.0005920678643936602
Closing Disclosure,0.0022851608227938414
Coachella,5.138569758855738e-05
Complaints,0.00015790657926118
Complete Homebuying Guide,8.035644714254886e-05
Congratulations,0.00040817294029693585
Consent,0.0006751239998266101
Construction Loans Work,5.854909977642819e-05
Consumer Financial Protection Bureau,0.0008182627643691376
Copies,0.0036744701210409403
Correction,0.000825130904559046
Costs,0.00023288209922611713
Credit,0.0018648191374571372
Credits,0.0008110622875392437
DTI,0.0005709861779905623
DTIs,2.6300955141778104e-05
Debt-to-Income Ratio,0.00017817746993387118
Debt-to-Income Ratio Important,0.0005593607784248888
Definition,0.0001237798084427292
Deposit Insurance,0.0001270219509024173
Description,0.0005736055172747001
Detroit,0.00015534866543021053
Difference,0.00013083720114082098
Differences,0.0001089140132535249
Discount points,0.00018692354205995798
Don't Forget,0.004044611472636461
Don't Stop Learning,0.0005440684035420418
Don't Stop Learning Investing,6.599960761377588e-05
Down Payment,0.0034479036316042767
Down payment,0.0014913696941221133
Email Address,0.00010712503717513755
Equifax,0.0008105661254376173
Escrow,0.0001291773332923185
Escrow fees,0.00031296556699089706
Everything,0.0003129466495011002
Experian,0.008978286758065224
FAQs,9.544390923110768e-05
FHA,0.000807773438282311
FHA Loan,0.0003417045372771099
FHA Loans Help You,0.0001308805658482015
FHA loan,0.0007539610960520804
Factors,0.00013014578144066036
Federal Deposit Insurance Corporation,0.0005948937032371759
Federal Housing Administration,0.0006036905106157064
