,Landing Page,Sessions,content_same_visit___num_initiated_quotes,content_same_visit___num_quotes,content_same_visit___num_sales,Conversion Rate %,Position
1,/tenant,72956.0,46589.0,27254.0,13685.0,18.76,5.43
3,/tenant/bc,21730.0,10762.0,6193.0,2151.0,9.9,4.0
7,/home/bc,8424.0,4012.0,2090.0,422.0,5.01,9.0
8,/tenant/alberta,7900.0,4844.0,2990.0,994.0,12.58,4.0
15,/tenant/bc/vancouver,5388.0,2921.0,1750.0,661.0,12.27,3.5
16,/home/ontario/toronto,3860.0,1985.0,1100.0,317.0,8.21,5.0
17,/tenant/quebec,3918.0,1924.0,1240.0,338.0,8.63,3.6
26,/home/alberta,2556.0,1196.0,643.0,143.0,5.59,8.0
29,/home/alberta/calgary,2033.0,975.0,548.0,125.0,6.15,5.5
31,/home/alberta/edmonton,1984.0,966.0,511.0,136.0,6.85,10.2
36,/tenant/manitoba/winnipeg,1749.0,981.0,489.0,113.0,6.46,3.5
39,/home/quebec,1598.0,821.0,506.0,83.0,5.19,11.0
44,/condo/ontario/toronto,1162.0,564.0,309.0,85.0,7.31,10.6
70,/home/ontario/hamilton,553.0,260.0,133.0,31.0,5.61,4.5
75,/condo/bc/vancouver,490.0,260.0,146.0,32.0,6.53,5.0
79,/home/ontario/kingston,398.0,229.0,135.0,42.0,10.55,5.0
82,/home/bc/nanaimo,381.0,144.0,73.0,23.0,6.04,5.0
90,/condo/alberta/calgary,303.0,131.0,73.0,21.0,6.93,4.5
105,/home/alberta/red-deer,234.0,126.0,66.0,14.0,5.98,8.0
107,/condo/alberta,214.0,83.0,43.0,13.0,6.07,7.0
148,/home/alberta/airdrie,115.0,64.0,40.0,9.0,7.83,4.0
159,/home/ontario/vaughan,89.0,42.0,23.0,7.0,7.87,3.5
191,/house/building-contents,54.0,47.0,13.0,6.0,11.11,14.0
242,/home/ontario/barrie,33.0,12.0,5.0,3.0,9.09,6.0
