,Landing Page,Sessions,content_same_visit___num_initiated_quotes,content_same_visit___num_quotes,content_same_visit___num_sales,Conversion Rate %,Position
0,/resource-centres/getting-to-know-your-home/backwater-valve,32198.0,16.0,6.0,1.0,0.0,2.67
1,/resource-centres/getting-to-know-your-home/electrical-panel,25681.0,0.0,0.0,0.0,0.0,2.67
2,/resource-centres/getting-to-know-your-home/knob-tube-wiring,23688.0,3.0,0.0,0.0,0.0,3.67
3,/tenant,20933.0,10446.0,6434.0,3130.0,14.95,5.43
4,/resource-centres/homeowner/noise-complaints-and-disturbances,18154.0,10.0,3.0,2.0,0.01,1.0
5,/resource-centres/getting-to-know-your-home/poly-b-plumbing,14688.0,26.0,16.0,2.0,0.01,5.8
6,/resource-centres/getting-to-know-your-home/kitec-plumbing,14771.0,12.0,9.0,0.0,0.0,3.67
7,/resource-centres/home-personal-safety/after-a-water-backup,12712.0,1.0,0.0,0.0,0.0,17.0
8,/resource-centres/interior-design/small-kitchen-design-ideas,11789.0,0.0,0.0,0.0,0.0,24.0
9,/resource-centres/getting-to-know-your-home/sump-pump,11895.0,2.0,1.0,0.0,0.0,11.5
10,/resource-centres/getting-to-know-your-home/perimeter-drain-system,11399.0,3.0,0.0,0.0,0.0,12.29
11,/resource-centres/getting-to-know-your-home/electric-baseboard-heaters,10601.0,1.0,0.0,0.0,0.0,12.0
12,/resource-centres/getting-to-know-your-home/window-wells,10473.0,5.0,0.0,0.0,0.0,6.6
13,/tenant/ontario/toronto,9560.0,5376.0,3491.0,1349.0,14.11,2.5
14,/resource-centres/home-buying-selling-moving/inheriting-a-home,9000.0,4.0,2.0,1.0,0.01,9.0
15,/tenant/alberta,6839.0,3873.0,2450.0,787.0,11.51,4.0
16,/resource-centres/home-buying-selling-moving/buying-house-questions,7294.0,12.0,2.0,0.0,0.0,4.5
18,/resource-centres/insurance-glossary/adjuster,6266.0,1.0,0.0,0.0,0.0,2.0
19,/resource-centres/renter/solving-common-roommate-issues,6031.0,0.0,0.0,0.0,0.0,11.0
20,/resource-centres/interior-design/feng-shui-basics,6475.0,0.0,0.0,0.0,0.0,17.2
21,/resource-centres/insurance-glossary/insurable-interest,5846.0,1.0,0.0,0.0,0.0,3.0
22,/resource-centres/home-buying-selling-moving/18-common-fees-a-cheat-sheet-for-home-buyers-and-sellers,5595.0,7.0,3.0,0.0,0.0,9.67
23,/tenant/bc,5263.0,2851.0,1772.0,649.0,12.33,4.0
24,/resource-centres/home-improvement/learning-about-house-foundation-types,5293.0,7.0,5.0,0.0,0.0,10.33
25,/resource-centres/insurance-glossary/bylaw,5074.0,0.0,0.0,0.0,0.0,5.67
26,/resource-centres/insurance-basics/understanding-your-insurance-premiums,5170.0,7.0,2.0,0.0,0.0,1.0
27,/resource-centres/insurance-glossary/insurance-renewal,5005.0,5.0,1.0,0.0,0.0,9.0
28,/resource-centres/renter/signing-a-roommate-lease,4612.0,0.0,0.0,0.0,0.0,6.67
29,/renters/ontario,4355.0,2367.0,1404.0,496.0,11.39,6.5
30,/resource-centres/home-personal-safety/canadian-flood-maps,4237.0,119.0,21.0,0.0,0.0,11.5
31,/resource-centres/getting-to-know-your-home/galvanized-steel-plumbing,4156.0,3.0,2.0,0.0,0.0,21.75
32,/resource-centres/insurance-glossary/broker,3816.0,6.0,2.0,0.0,0.0,4.67
33,/resource-centres/insurance-glossary/insurer,3587.0,0.0,0.0,0.0,0.0,3.0
35,/tenant/ontario/ottawa,3441.0,1998.0,1244.0,453.0,13.16,1.0
36,/home,3498.0,1347.0,714.0,246.0,7.03,60.0
37,/resource-centres/homeowner/fee-simple-ownership,3272.0,1.0,0.0,0.0,0.0,2.0
38,/resource-centres/insurance-glossary/binder,3266.0,34.0,18.0,8.0,0.24,3.0
39,/resource-centres/insurance-glossary/underwriting,3201.0,1.0,1.0,0.0,0.0,18.33
40,/resource-centres/insurance-glossary/loss-assessment,3188.0,8.0,4.0,1.0,0.03,3.5
41,/fr/centres-ressources/securite-domiciliaire-personnelle/apres-refoulement-eau,3182.0,1.0,0.0,0.0,0.0,6.6
42,/resource-centres/renter/tenant-versus-landlord-insurance,3022.0,39.0,19.0,3.0,0.1,7.8
43,/resource-centres/insurance-glossary/claim,3088.0,1.0,0.0,0.0,0.0,3.33
44,/resource-centres/insurance-glossary/peril,2947.0,0.0,0.0,0.0,0.0,9.33
45,/tenant/bc/vancouver,2871.0,1533.0,937.0,358.0,12.47,3.5
46,/resource-centres/getting-to-know-your-home/forced-air-furnace,2876.0,1.0,0.0,0.0,0.0,8.2
47,/resource-centres/insurance-glossary/policyholder,2760.0,0.0,0.0,0.0,0.0,4.0
49,/resource-centres/getting-to-know-your-home/aluminum-wiring,2804.0,5.0,4.0,0.0,0.0,9.4
50,/resource-centres/insurance-glossary/coverage-c,2584.0,1.0,0.0,0.0,0.0,13.5
51,/resource-centres/getting-to-know-your-home/house-attic,2625.0,2.0,1.0,0.0,0.0,5.17
52,/resource-centres/homeowner/insuring-vacant-dwellings,2608.0,208.0,105.0,11.0,0.42,5.25
53,/contact-us,3116.0,94.0,51.0,33.0,1.06,2.0
54,/resource-centres/insurance-glossary/named-insured,2428.0,1.0,0.0,0.0,0.0,4.0
55,/fr,2480.0,724.0,470.0,126.0,5.08,2.0
56,/resource-centres/insurance-glossary/quote,2298.0,10.0,3.0,0.0,0.0,4.67
57,/resource-centres/insurance-glossary/loss-ratio,2006.0,0.0,0.0,0.0,0.0,5.5
58,/resource-centres/insurance-glossary/occupancy,1969.0,2.0,1.0,0.0,0.0,17.0
59,/resource-centres/insurance-basics/liability-insurance,2033.0,47.0,22.0,10.0,0.49,22.25
60,/resource-centres/insurance-glossary/claims-history,1951.0,11.0,5.0,1.0,0.05,6.5
61,/resource-centres/home-improvement/17-questions-to-ask-before-hiring-your-next-contractor,1978.0,0.0,0.0,0.0,0.0,9.75
62,/resource-centres/renter/finding-insurance-with-roommate,1837.0,98.0,52.0,11.0,0.6,2.0
63,/resource-centres/insurance-glossary/endorsement,1770.0,0.0,0.0,0.0,0.0,20.0
65,/resource-centres/insurance-basics/insuring-cell-phone-laptop-smartwatch,1734.0,114.0,28.0,2.0,0.12,1.0
66,/resource-centres/getting-to-know-your-home/radiant-floor-heating,1727.0,1.0,0.0,0.0,0.0,21.0
67,/resource-centres/insurance-glossary/loss-of-use,1665.0,1.0,0.0,0.0,0.0,5.0
68,/resource-centres/insurance-basics/additional-living-expenses,1695.0,5.0,1.0,0.0,0.0,5.33
69,/resource-centres/landlord/responsibilities-rental-unit-repairs,1631.0,2.0,1.0,0.0,0.0,6.0
70,/resource-centres/insurance-glossary/minimum-retained-premium,1623.0,3.0,2.0,0.0,0.0,1.0
71,/resource-centres/getting-to-know-your-home/guide-copper-pipes-plumbing,1531.0,0.0,0.0,0.0,0.0,16.75
72,/resource-centres/getting-to-know-your-home/retaining-walls,1524.0,2.0,0.0,0.0,0.0,18.67
73,/resource-centres/insurance-glossary/coverage-e,1489.0,1.0,1.0,0.0,0.0,1.0
74,/resource-centres/insurance-glossary/loss-payee,1520.0,8.0,7.0,3.0,0.2,3.5
75,/resource-centres/insurance-glossary/premium,1480.0,1.0,0.0,0.0,0.0,7.0
76,/reviews,1464.0,162.0,85.0,43.0,2.94,5.0
77,/tenant/quebec,1423.0,772.0,499.0,139.0,9.77,3.6
78,/tenant/ontario/london,1422.0,830.0,487.0,140.0,9.85,1.0
79,/resource-centres/landlord/getting-landlords-insurance,1403.0,18.0,7.0,1.0,0.07,11.67
80,/home/bc,1273.0,609.0,323.0,57.0,4.48,9.0
81,/resource-centres/insurance-glossary/bodily-injury,1223.0,0.0,0.0,0.0,0.0,1.0
82,/resource-centres/insurance-glossary/reinstatement,1258.0,1.0,1.0,1.0,0.08,12.0
83,/resource-centres/insurance-glossary/additional-insured,1237.0,2.0,0.0,2.0,0.16,7.0
84,/tenant/manitoba/winnipeg,1205.0,597.0,304.0,73.0,6.06,3.5
85,/resource-centres/home-improvement/best-time-to-buy-appliances-a-guide,1246.0,0.0,0.0,0.0,0.0,3.0
86,/resource-centres/insurance-glossary/comprehensive,1249.0,5.0,3.0,1.0,0.08,31.5
88,/home/alberta/calgary,1147.0,476.0,284.0,58.0,5.06,5.5
89,/resource-centres/insurance-basics/frozen-pipes-dont-have-to-spell-disaster,1162.0,1.0,0.0,1.0,0.09,18.5
90,/home/alberta/edmonton,1105.0,491.0,258.0,70.0,6.33,10.2
91,/resource-centres/homeowner/guaranteed-building-replacement,1111.0,30.0,14.0,3.0,0.27,2.0
93,/resource-centres/getting-to-know-your-home/hot-water-tank,1131.0,2.0,0.0,0.0,0.0,23.8
94,/resource-centres/insurance-glossary/broad-form,1085.0,1.0,1.0,1.0,0.09,2.0
95,/tenant/ontario/mississauga,1101.0,563.0,327.0,108.0,9.81,1.0
96,/home/ontario,1047.0,528.0,292.0,45.0,4.3,22.0
97,/resource-centres/getting-to-know-your-home/basements,1057.0,0.0,0.0,0.0,0.0,8.4
98,/home/ontario/toronto,1036.0,502.0,298.0,82.0,7.92,5.0
99,/resource-centres/home-improvement/renovations-that-do-and-dont-increase-your-home-value,1061.0,1.0,0.0,0.0,0.0,20.0
101,/resource-centres/insurance-basics/choosing-the-right-deductible,1003.0,8.0,3.0,0.0,0.0,7.2
103,/resource-centres/insurance-glossary/detached-structures,983.0,3.0,2.0,0.0,0.0,2.0
104,/resource-centres/insurance-glossary/vandalism,960.0,1.0,0.0,0.0,0.0,24.0
106,/resource-centres/interior-design/hardwood-floor-design-ideas,936.0,0.0,0.0,0.0,0.0,26.0
107,/resource-centres/insurance-glossary/actuary,967.0,0.0,0.0,0.0,0.0,32.67
108,/resource-centres/insurance-glossary/credit-check,943.0,0.0,0.0,0.0,0.0,9.33
109,/resource-centres/renter/apartment-security-tips-for-renters,939.0,0.0,0.0,0.0,0.0,7.0
110,/tenant/ontario/kitchener,932.0,537.0,306.0,111.0,11.91,1.0
111,/tenant/ontario/hamilton,933.0,541.0,326.0,103.0,11.04,1.5
113,/renters/saskatchewan,906.0,343.0,158.0,33.0,3.64,4.0
114,/resource-centres/landlord/finding-tenants,946.0,1.0,1.0,0.0,0.0,4.8
116,/home/alberta,855.0,378.0,210.0,40.0,4.68,8.0
117,/resource-centres/landlord/checklist-for-residential-rental-units,866.0,4.0,1.0,0.0,0.0,5.67
118,/resource-centres/home-buying-selling-moving/truth-selling-your-home,849.0,1.0,0.0,0.0,0.0,6.0
119,/home/ontario/ottawa,851.0,424.0,234.0,74.0,8.7,2.5
121,/resource-centres/getting-to-know-your-home/water-leak-detection-systems,834.0,1.0,0.0,0.0,0.0,31.0
122,/resource-centres/insurance-glossary/named-perils,766.0,0.0,0.0,0.0,0.0,5.5
123,/resource-centres/homeowner/what-are-net-zero-or-net-energy-homes,810.0,3.0,0.0,0.0,0.0,7.0
124,/resource-centres/getting-to-know-your-home/bidets,733.0,1.0,0.0,0.0,0.0,29.0
126,/home/airbnb,748.0,189.0,93.0,22.0,2.94,7.0
127,/resource-centres/insurance-glossary/agent,746.0,0.0,0.0,0.0,0.0,47.0
128,/tenant/alberta/calgary,722.0,330.0,172.0,61.0,8.45,3.0
129,/resource-centres/insurance-basics/getting-engaged,700.0,44.0,11.0,1.0,0.14,5.0
131,/home/legal-protection,836.0,24.0,6.0,2.0,0.24,3.0
132,/resource-centres/getting-to-know-your-home/tankless-hot-water-heater,684.0,1.0,1.0,0.0,0.0,25.33
133,/tenant/ontario/brampton,665.0,338.0,170.0,55.0,8.27,1.0
135,/resource-centres/landlord/requiring-tenant-insurance,641.0,14.0,6.0,2.0,0.31,11.0
136,/house/knob-tube-wiring,652.0,65.0,36.0,4.0,0.61,6.0
137,/semi-attached-house,624.0,102.0,40.0,3.0,0.48,1.0
138,/landlord/ontario,621.0,271.0,138.0,27.0,4.35,12.0
140,/home/log,650.0,113.0,67.0,8.0,1.23,2.0
141,/resource-centres/insurance-glossary/co-op-insurance,642.0,32.0,23.0,8.0,1.25,7.5
142,/tenant/bc/victoria,646.0,321.0,187.0,74.0,11.46,1.0
143,/resource-centres/renter/thefts-on-college-campuses-on-the-rise-how-to-protect-yourself,616.0,1.0,0.0,0.0,0.0,1.0
144,/resource-centres/landlord/signing-ending-a-residential-lease,581.0,1.0,1.0,1.0,0.17,20.33
145,/resource-centres/insurance-basics/home-insurance-policy-exclusions,590.0,0.0,0.0,0.0,0.0,6.0
146,/resource-centres/renter/insurance-for-students-living-away-from-home,533.0,42.0,17.0,9.0,1.69,7.0
147,/resource-centres/insurance-glossary/coverage-f,511.0,2.0,1.0,0.0,0.0,1.0
148,/resource-centres/landlord/avoiding-marijuana-grow-ops,511.0,1.0,0.0,0.0,0.0,15.0
149,/home/bc/vancouver,491.0,222.0,118.0,26.0,5.3,4.5
150,/resource-centres/home-buying-selling-moving/log-homes,490.0,0.0,0.0,0.0,0.0,10.0
152,/fr/centres-ressources/ameliorations-domiciliaires/types-fondation-maison,503.0,1.0,0.0,0.0,0.0,4.5
153,/home/older,483.0,110.0,66.0,6.0,1.24,3.0
154,/condo/bc,464.0,206.0,110.0,8.0,1.72,6.5
155,/resource-centres/home-personal-safety/guns-and-home-insurance,497.0,4.0,3.0,0.0,0.0,7.0
156,/contents,463.0,187.0,103.0,28.0,6.05,5.0
157,/resource-centres/homeowner/active-house,501.0,0.0,0.0,0.0,0.0,2.33
158,/resource-centres/home-buying-selling-moving/signs-it-may-be-time-to-sell-your-home,465.0,0.0,0.0,0.0,0.0,4.0
159,/landlord/alberta,456.0,172.0,93.0,20.0,4.39,20.0
160,/condo/ontario/toronto,425.0,176.0,98.0,25.0,5.88,10.6
161,/home/water,451.0,7.0,3.0,0.0,0.0,11.0
162,/resource-centres/insurance-glossary/limit,425.0,1.0,0.0,0.0,0.0,1.0
165,/home/earthquake,408.0,68.0,21.0,2.0,0.49,7.0
167,/tenant/ontario/windsor,404.0,227.0,128.0,36.0,8.91,1.0
169,/rental-property,395.0,110.0,65.0,21.0,5.32,12.0
171,/resource-centres/insurance-basics/dogs-home-insurance,388.0,3.0,2.0,1.0,0.26,64.0
172,/tenant/saskatchewan/regina,379.0,181.0,96.0,23.0,6.07,1.0
173,/resource-centres/home-personal-safety/pets-at-home-canadians-spend-how-much,384.0,9.0,1.0,0.0,0.0,1.0
174,/house/aluminum-wiring,381.0,75.0,42.0,6.0,1.57,6.0
177,/resource-centres/renter/roommate-agreement,384.0,2.0,2.0,0.0,0.0,12.0
178,/home/ontario/kingston,352.0,205.0,124.0,37.0,10.51,5.0
181,/resource-centres/homeowner/snowbirds-guide-to-winterizing-your-home,342.0,1.0,1.0,0.0,0.0,5.0
182,/resource-centres/insurance-glossary/deductible,342.0,1.0,0.0,0.0,0.0,24.5
183,/resource-centres/insurance-basics/landslide-or-acts-of-god-damage,347.0,2.0,0.0,0.0,0.0,14.5
184,/resource-centres/condo-owner/condo-owners-protection,340.0,7.0,1.0,0.0,0.0,1.0
185,/fire/ontario,316.0,132.0,65.0,11.0,3.48,6.0
187,/resource-centres/getting-to-know-your-home/your-doors,304.0,0.0,0.0,0.0,0.0,15.5
