,0
C:\Users\Hooman Deghani\OneDrive\PC\Desktop\Current Datasets\Potentials\www.squareone.ca-condo-ontario-toronto-organ__2023-02-06_14-18-40.csv,3950.0
C:\Users\Hooman Deghani\OneDrive\PC\Desktop\Current Datasets\Potentials\www.squareone.ca-condo-organic-keywords-path__2023-02-06_14-13-55.csv,6630.0
C:\Users\Hooman Deghani\OneDrive\PC\Desktop\Current Datasets\Potentials\www.squareone.ca-fr-habitation-organic-keywo__2023-02-06_14-17-20.csv,1060.0
C:\Users\Hooman Deghani\OneDrive\PC\Desktop\Current Datasets\Potentials\www.squareone.ca-fr-habitation-quebec-montre__2023-02-06_14-19-03.csv,190.0
C:\Users\Hooman Deghani\OneDrive\PC\Desktop\Current Datasets\Potentials\www.squareone.ca-fr-habitation-quebec-organi__2023-02-06_14-14-06.csv,190.0
C:\Users\Hooman Deghani\OneDrive\PC\Desktop\Current Datasets\Potentials\www.squareone.ca-home-alberta-edmonton-organ__2023-02-06_14-18-27.csv,2840.0
C:\Users\Hooman Deghani\OneDrive\PC\Desktop\Current Datasets\Potentials\www.squareone.ca-home-organic-keywords-path-__2023-02-06_14-16-07.csv,106650.0
C:\Users\Hooman Deghani\OneDrive\PC\Desktop\Current Datasets\Potentials\www.squareone.ca-home-quebec-organic-keyword__2023-02-06_14-15-15.csv,2690.0
C:\Users\Hooman Deghani\OneDrive\PC\Desktop\Current Datasets\Potentials\www.squareone.ca-rental-property-organic-key__2023-02-06_14-18-52.csv,5770.0
C:\Users\Hooman Deghani\OneDrive\PC\Desktop\Current Datasets\Potentials\www.squareone.ca-renters-ontario-organic-key__2023-02-06_14-13-25.csv,10600.0
C:\Users\Hooman Deghani\OneDrive\PC\Desktop\Current Datasets\Potentials\www.squareone.ca-tenant-alberta-organic-keyw__2023-02-06_14-13-11.csv,11230.0
C:\Users\Hooman Deghani\OneDrive\PC\Desktop\Current Datasets\Potentials\www.squareone.ca-tenant-bc-organic-keywords-__2023-02-06_14-12-03.csv,11820.0
C:\Users\Hooman Deghani\OneDrive\PC\Desktop\Current Datasets\Potentials\www.squareone.ca-tenant-bc-vancouver-organic__2023-02-06_14-11-40.csv,3040.0
C:\Users\Hooman Deghani\OneDrive\PC\Desktop\Current Datasets\Potentials\www.squareone.ca-tenant-organic-keywords-pat__2023-02-06_14-11-24.csv,123060.0
C:\Users\Hooman Deghani\OneDrive\PC\Desktop\Current Datasets\Potentials\www.squareone.ca-tenant-quebec-organic-keywo__2023-02-06_14-13-43.csv,2850.0
