,Landing Page,Sessions,content_same_visit___num_initiated_quotes,content_same_visit___num_quotes,content_same_visit___num_sales,Conversion Rate %,Position
3,/tenant,20933.0,10446.0,6434.0,3130.0,14.95,5.43
15,/tenant/alberta,6839.0,3873.0,2450.0,787.0,11.51,4.0
23,/tenant/bc,5263.0,2851.0,1772.0,649.0,12.33,4.0
29,/renters/ontario,4355.0,2367.0,1404.0,496.0,11.39,6.5
36,/home,3498.0,1347.0,714.0,246.0,7.03,60.0
45,/tenant/bc/vancouver,2871.0,1533.0,937.0,358.0,12.47,3.5
77,/tenant/quebec,1423.0,772.0,499.0,139.0,9.77,3.6
84,/tenant/manitoba/winnipeg,1205.0,597.0,304.0,73.0,6.06,3.5
88,/home/alberta/calgary,1147.0,476.0,284.0,58.0,5.06,5.5
90,/home/alberta/edmonton,1105.0,491.0,258.0,70.0,6.33,10.2
98,/home/ontario/toronto,1036.0,502.0,298.0,82.0,7.92,5.0
149,/home/bc/vancouver,491.0,222.0,118.0,26.0,5.3,4.5
156,/contents,463.0,187.0,103.0,28.0,6.05,5.0
160,/condo/ontario/toronto,425.0,176.0,98.0,25.0,5.88,10.6
169,/rental-property,395.0,110.0,65.0,21.0,5.32,12.0
178,/home/ontario/kingston,352.0,205.0,124.0,37.0,10.51,5.0
224,/condo,225.0,93.0,50.0,20.0,8.89,31.0
229,/fr/habitation/quebec/montreal,191.0,88.0,48.0,10.0,5.24,8.2
248,/condo/alberta/calgary,154.0,72.0,46.0,10.0,6.49,4.5
265,/home/quebec,132.0,34.0,22.0,10.0,7.58,11.0
266,/home/bc/nanaimo,137.0,62.0,32.0,12.0,8.76,5.0
280,/home/alberta/red-deer,115.0,60.0,33.0,8.0,6.96,8.0
286,/fr/habitation,118.0,55.0,35.0,8.0,6.78,43.25
290,/home/alberta/airdrie,113.0,58.0,37.0,8.0,7.08,4.0
311,/home/ontario/hamilton,90.0,46.0,31.0,10.0,11.11,4.5
313,/home/bc/kelowna,85.0,46.0,26.0,5.0,5.88,5.0
315,/condo/alberta,81.0,40.0,26.0,7.0,8.64,7.0
318,/fr/habitation/quebec,97.0,35.0,26.0,8.0,8.25,37.5
350,/home/ontario/vaughan,60.0,29.0,15.0,6.0,10.0,3.5
534,/condo/bc/abbotsford,11.0,3.0,2.0,1.0,9.09,3.5
